"STATION","NAME","DATE","TAVG","TMAX","TMIN","WT01","WT02","WT03","WT04","WT06","WT08"
"USW00094728","NY CITY CENTRAL PARK, NY US","2023-05-11",,"80","57",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2023-05-12",,"87","65",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2023-05-13",,"82","66",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2023-05-14",,"74","59",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2023-05-15",,"74","52",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2023-05-16",,"79","58",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2023-05-17",,"69","50",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2023-05-18",,"61","43",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2023-05-19",,"70","52",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2023-05-20",,"65","57","    1","    1",,,,"    1"
"USW00094728","NY CITY CENTRAL PARK, NY US","2023-05-21",,"70","55","    1",,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2023-05-22",,"75","57",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2023-05-23",,"70","54",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2023-05-24",,"77","53","    1",,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2023-05-25",,"68","50",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2023-05-26",,"72","53",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2023-05-27",,"78","56",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2023-05-28",,"79","59",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2023-05-29",,"79","59",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2023-05-30",,"72","55",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2023-05-31",,"77","51",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2023-06-01",,"87","59","    1",,,,,"    1"
"USW00094728","NY CITY CENTRAL PARK, NY US","2023-06-02",,"91","66","    1",,"    1",,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2023-06-03",,"69","54",,,,,,"    1"
"USW00094728","NY CITY CENTRAL PARK, NY US","2023-06-04",,"69","49",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2023-06-05",,"76","56",,,,,,"    1"
"USW00094728","NY CITY CENTRAL PARK, NY US","2023-06-06",,"79","60",,,"    1",,,"    1"
"USW00094728","NY CITY CENTRAL PARK, NY US","2023-06-07",,"69","57",,,,,,"    1"
"USW00094728","NY CITY CENTRAL PARK, NY US","2023-06-08",,"72","55",,,,,,"    1"
"USW00094728","NY CITY CENTRAL PARK, NY US","2023-06-09",,"72","58",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2023-06-10",,"78","58",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2023-06-11",,"82","64","    1",,,,,"    1"
"USW00094728","NY CITY CENTRAL PARK, NY US","2023-06-12",,"78","66","    1",,,,,"    1"
"USW00094728","NY CITY CENTRAL PARK, NY US","2023-06-13",,"78","64","    1",,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2023-06-14",,"76","63","    1",,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2023-06-15",,"77","61",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2023-06-16",,"79","63","    1",,"    1",,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2023-06-17",,"77","62",,,"    1",,,"    1"
"USW00094728","NY CITY CENTRAL PARK, NY US","2023-06-18",,"80","62",,,,,,"    1"
"USW00094728","NY CITY CENTRAL PARK, NY US","2023-06-19",,"81","65",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2023-06-20",,"78","64",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2023-06-21",,"73","62",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2023-06-22",,"72","60","    1",,,,,"    1"
"USW00094728","NY CITY CENTRAL PARK, NY US","2023-06-23",,"71","65","    1",,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2023-06-24",,"78","69","    1",,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2023-06-25",,"85","71","    1",,,,,"    1"
"USW00094728","NY CITY CENTRAL PARK, NY US","2023-06-26",,"78","68","    1",,"    1",,,"    1"
"USW00094728","NY CITY CENTRAL PARK, NY US","2023-06-27",,"79","66","    1",,,,,"    1"
"USW00094728","NY CITY CENTRAL PARK, NY US","2023-06-28",,"82","66","    1",,,,,"    1"
"USW00094728","NY CITY CENTRAL PARK, NY US","2023-06-29",,"82","65",,,,,,"    1"
"USW00094728","NY CITY CENTRAL PARK, NY US","2023-06-30",,"84","70","    1",,,,,"    1"
"USW00094728","NY CITY CENTRAL PARK, NY US","2023-07-01",,"82","69",,,,,,"    1"
